Umur,Domisili,Province,Jenis Kelamin,Total Twitter Sekunder,Twitter1,Twitter2,Twitter3,Twitter4,Twitter5,Twitter6,Private Second Account,Roleplay Acc,Fake/Spam,Alter Acc,BodySatisfaction,FamCloseness,ParentsinMarriage,LivingApart,Loneliness,SExp1,SExp2,SExp3,SExp4,SExp5,SExp6,SExp,InfSeek1,InfSeek2,InfSeek3,InfSeek4,InfSeek,Soc1,Soc2,Soc3,Soc4,Soc,Div1,Div2,Div,UG_TOT,DA1,DA2,DA3,DA4,DA_OD,IN1,IN2,IN3,IN4,IN5,IN_OD,AS1,AS2,AS3,AS_OD,SI1,SI2,SI3,SI_OD,DI1,DI2,DI3,DI4,DI_OD,MA1,MA2,MA3,MA4,MA_OD,OD_TOT,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS_TOT
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,0,1,2,6,3,7,7,6,4,33,6,6,6,2,20,6,4,2,1,13,7,4,11,77,4,4,2,2,12,2,3,2,2,2,11,6,6,6,18,3,3,5,11,1,1,1,3,6,2,4,5,3,14,72,5,3,2,3,4,5,22
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,0,0,3,4,4,5,6,5,2,26,5,5,5,3,18,6,4,5,6,21,5,5,10,75,4,3,4,4,15,4,5,4,5,5,23,5,4,4,13,4,3,4,11,2,3,3,3,11,4,5,5,2,16,89,4,3,4,3,2,3,19
0,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,2,1,0,4,6,1,6,7,6,1,27,5,4,4,4,17,7,1,3,2,13,7,7,14,71,6,6,6,7,25,6,7,6,5,6,30,3,3,3,9,6,4,4,14,7,6,5,6,24,7,3,6,5,21,123,4,3,5,3,2,2,19
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,4,1,1,2,2,6,4,5,6,6,29,6,6,6,4,22,6,6,6,6,24,6,6,12,87,5,4,3,4,16,4,4,4,4,4,20,5,5,5,15,4,4,4,12,4,6,5,5,20,4,5,5,4,18,101,2,2,4,2,2,2,14
1,Bandung,Jawa Barat,0,2,Private Second Account,Role Play Account,,,,,1,1,0,0,3,3,1,0,2,3,1,4,4,6,2,20,7,7,7,4,25,6,5,4,5,20,7,6,13,78,5,7,7,5,24,3,1,1,4,5,14,7,7,7,21,5,5,6,16,4,3,4,6,17,4,3,5,5,17,109,4,2,4,4,3,1,18
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,4,1,0,3,5,3,6,6,5,3,28,5,5,5,4,19,7,3,1,1,12,5,5,10,69,3,4,5,3,15,5,5,5,5,5,25,5,7,7,19,5,5,5,15,4,4,4,4,16,3,3,3,5,14,104,4,2,2,4,2,2,16
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,1,2,3,3,3,5,3,3,20,6,6,7,6,25,7,3,3,3,16,6,6,12,73,4,4,3,2,13,4,4,3,5,4,20,5,5,5,15,6,4,5,15,4,4,3,4,15,2,2,2,2,8,86,3,1,4,2,2,2,14
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,1,0,1,1,1,1,1,1,1,6,6,6,6,6,24,6,1,1,1,9,7,4,11,50,7,7,7,7,28,7,7,6,6,6,32,7,7,7,21,3,3,5,11,5,4,4,4,17,4,4,5,4,17,126,3,4,2,2,2,2,15
0,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,1,4,4,7,7,7,7,4,36,6,7,7,4,24,7,5,2,3,17,7,7,14,91,7,6,5,3,21,2,4,4,4,3,17,2,3,3,8,2,5,4,11,2,2,2,2,8,4,1,4,3,12,77,4,4,5,5,4,4,26
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,2,1,0,2,5,1,4,6,7,2,25,5,4,4,4,17,7,4,5,5,21,7,7,14,77,4,3,3,3,13,3,3,3,3,5,17,4,4,4,12,3,4,5,12,2,1,3,3,9,3,4,4,4,15,78,3,2,5,3,3,3,19
